longitude,latitude
114.9651344,26.12079487
103.9234677,53.92079487
104.1484677,28.21246154
101.1068011,3.562461539
100.8568011,45.32912821
116.4318011,41.89579487
73.64013441,18.55412821
81.56513441,20.07912821
105.4151344,44.38746154
87.40680108,41.29579487
94.59013441,28.60412821
103.5318011,47.58746154
111.8651344,0.962461539
123.7984677,8.329128206
73.31513441,22.17912821
88.69846775,39.65412821
98.84846775,23.13746154
89.97346775,30.70412821
83.11513441,31.82079487
77.80680108,44.46246154
109.5984677,53.47079487
109.9818011,27.60412821
113.1401344,45.72079487
81.86513441,33.81246154
84.29013441,51.49579487
77.59013441,48.55412821
104.1068011,48.73746154
84.62346775,28.47079487
79.94846775,13.97079487
115.4734677,39.96246154
112.9068011,27.11246154
97.54013441,51.79579487
125.2901344,47.39579487
72.16513441,37.18746154
124.8068011,8.154128206
132.7401344,33.88746154
109.7068011,40.99579487
83.14846775,41.39579487
81.79846775,39.85412821
125.1984677,44.39579487
78.14846775,25.52079487
93.51513441,29.27079487
116.3234677,55.27912821
122.2818011,37.25412821
120.2568011,30.79579487
98.14013441,36.96246154
106.4068011,39.68746154
108.2234677,26.98746154
75.01513441,44.13746154
99.29846775,49.51246154
89.98180108,42.59579487
136.8651344,45.63746154
76.93180108,39.20412821
96.59846775,22.61246154
126.6234677,42.76246154
102.4234677,2.829128206
86.41513441,25.45412821
96.05680108,25.28746154
110.1651344,44.92912821
114.2401344,52.92079487
129.0984677,35.22912821
79.37346775,23.20412821
107.1734677,22.95412821
105.7151344,15.99579487
92.61513441,43.50412821
106.7568011,46.76246154
134.6318011,51.92079487
116.8734677,-0.062538461
117.3984677,37.38746154
116.7818011,51.23746154
77.81513441,32.93746154
99.34013441,2.545794873
86.08180108,41.81246154
72.32346775,34.37912821
86.27346775,47.64579487
73.68180108,31.45412821
84.35680108,51.74579487
97.61513441,30.21246154
121.5818011,45.96246154
76.01513441,22.76246154
116.8984677,26.82079487
86.13180108,47.20412821
95.14013441,47.20412821
119.3484677,36.68746154
101.8234677,25.82912821
124.8651344,51.24579487
76.72346775,42.71246154
119.6651344,51.03746154
79.14013441,11.07079487
78.39846775,29.15412821
98.59846775,16.20412821
103.3818011,22.88746154
102.5901344,37.99579487
125.4068011,42.09579487
113.0068011,45.45412821
93.17346775,21.72912821
89.14013441,32.31246154
86.72346775,25.95412821
87.50680108,36.09579487
95.74846775,49.17079487
109.2651344,47.27079487
119.0318011,44.87079487
91.98180108,54.72912821
103.4234677,11.61246154
100.5234677,14.86246154
90.08180108,42.30412821
74.41513441,38.98746154
73.89846775,16.87912821
74.37346775,32.49579487
85.73180108,48.52079487
101.4151344,30.94579487
83.69846775,54.07079487
83.64013441,45.80412821
121.0151344,37.42079487
95.24846775,38.57079487
136.5068011,54.06246154
103.7568011,52.57912821
79.96513441,22.99579487
116.0901344,51.47912821
81.04846775,35.76246154
86.72346775,30.27079487
85.79846775,26.57912821
136.3318011,49.15412821
96.67346775,33.85412821
98.87346775,18.04579487
107.4234677,31.57912821
104.5068011,14.26246154
98.65680108,19.99579487
109.7651344,36.85412821
114.0151344,45.30412821
90.55680108,49.59579487
77.74846775,31.94579487
107.2234677,11.97912821
135.1734677,35.29579487
116.9318011,41.75412821
103.3734677,11.95412821
119.6401344,52.68746154
111.5901344,50.99579487
124.9068011,55.85412821
87.65680108,51.92912821
120.6068011,49.52079487
91.85680108,47.38746154
85.12346775,21.24579487
107.9318011,11.07912821
